countryName,currencyName,currencyCode,minorUnit,
MEMBER COUNTRIES OF THE AFRICAN DEVELOPMENT BANK GROUP,ADB Unit of Account,XUA,N.A.,
MEXICO,Mexican Peso,MXN,2,
MEXICO,Mexican Unidad de Inversion (UDI),MXV,2,
MICRONESIA (FEDERATED STATES OF),US Dollar,USD,2,
MOLDOVA (THE REPUBLIC OF),Moldovan Leu,MDL,2,
MONACO,Euro,EUR,2,
MONGOLIA,Tugrik,MNT,2,
MONTENEGRO,Euro,EUR,2,
MONTSERRAT,East Caribbean Dollar,XCD,2,
MOROCCO,Moroccan Dirham,MAD,2,
MOZAMBIQUE,Mozambique Metical,MZN,2,
MYANMAR,Kyat,MMK,2,
NAMIBIA,Namibia Dollar,NAD,2,
NAMIBIA,Rand,ZAR,2,
NAURU,Australian Dollar,AUD,2,
NEPAL,Nepalese Rupee,NPR,2,
NETHERLANDS (THE),Euro,EUR,2,
NEW CALEDONIA,CFP Franc,XPF,0,
NEW ZEALAND,New Zealand Dollar,NZD,2,
NICARAGUA,Cordoba Oro,NIO,2,
NIGER (THE),CFA Franc BCEAO,XOF,0,
NIGERIA,Naira,NGN,2,
NIUE,New Zealand Dollar,NZD,2,
NORFOLK ISLAND,Australian Dollar,AUD,2,
NORTHERN MARIANA ISLANDS (THE),US Dollar,USD,2,
NORWAY,Norwegian Krone,NOK,2,
OMAN,Rial Omani,OMR,3,
PAKISTAN,Pakistan Rupee,PKR,2,
PALAU,US Dollar,USD,2,
"PALESTINE, STATE OF",No universal currency,,,
PANAMA,Balboa,PAB,2,
PANAMA,US Dollar,USD,2,
PAPUA NEW GUINEA,Kina,PGK,2,
PARAGUAY,Guarani,PYG,0,
PERU,Nuevo Sol,PEN,2,
PHILIPPINES (THE),Philippine Peso,PHP,2,
PITCAIRN,New Zealand Dollar,NZD,2,
POLAND,Zloty,PLN,2,
PORTUGAL,Euro,EUR,2,
PUERTO RICO,US Dollar,USD,2,
QATAR,Qatari Rial,QAR,2,
RÉUNION,Euro,EUR,2,
ROMANIA,Romanian Leu,RON,2,
RUSSIAN FEDERATION (THE),Russian Ruble,RUB,2,
RWANDA,Rwanda Franc,RWF,0,
SAINT BARTHÉLEMY,Euro,EUR,2,
"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",Saint Helena Pound,SHP,2,
SAINT KITTS AND NEVIS,East Caribbean Dollar,XCD,2,
SAINT LUCIA,East Caribbean Dollar,XCD,2,
SAINT MARTIN (FRENCH PART),Euro,EUR,2,
SAINT PIERRE AND MIQUELON,Euro,EUR,2,
SAINT VINCENT AND THE GRENADINES,East Caribbean Dollar,XCD,2,
SAMOA,Tala,WST,2,
SAN MARINO,Euro,EUR,2,
SAO TOME AND PRINCIPE,Dobra,STD,2,
SAUDI ARABIA,Saudi Riyal,SAR,2,
SENEGAL,CFA Franc BCEAO,XOF,0,
SERBIA,Serbian Dinar,RSD,2,
SEYCHELLES,Seychelles Rupee,SCR,2,
SIERRA LEONE,Leone,SLL,2,
SINGAPORE,Singapore Dollar,SGD,2,
SINT MAARTEN (DUTCH PART),Netherlands Antillean Guilder,ANG,2,
"SISTEMA UNITARIO DE COMPENSACION REGIONAL DE PAGOS ""SUCRE""",Sucre,XSU,N.A.,
SLOVAKIA,Euro,EUR,2,
SLOVENIA,Euro,EUR,2,
SOLOMON ISLANDS,Solomon Islands Dollar,SBD,2,
SOMALIA,Somali Shilling,SOS,2,
SOUTH AFRICA,Rand,ZAR,2,
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,No universal currency,,,
SOUTH SUDAN,South Sudanese Pound,SSP,2,
SPAIN,Euro,EUR,2,
SRI LANKA,Sri Lanka Rupee,LKR,2,
SUDAN (THE),Sudanese Pound,SDG,2,
SURINAME,Surinam Dollar,SRD,2,
SVALBARD AND JAN MAYEN,Norwegian Krone,NOK,2,
SWAZILAND,Lilangeni,SZL,2,
SWEDEN,Swedish Krona,SEK,2,
SWITZERLAND,WIR Euro,CHE,2,
SWITZERLAND,Swiss Franc,CHF,2,
SWITZERLAND,WIR Franc,CHW,2,
SYRIAN ARAB REPUBLIC,Syrian Pound,SYP,2,
TAIWAN (PROVINCE OF CHINA),New Taiwan Dollar,TWD,2,
TAJIKISTAN,Somoni,TJS,2,
"TANZANIA, UNITED REPUBLIC OF",Tanzanian Shilling,TZS,2,
THAILAND,Baht,THB,2,
TIMOR-LESTE,US Dollar,USD,2,
TOGO,CFA Franc BCEAO,XOF,0,
TOKELAU,New Zealand Dollar,NZD,2,
TONGA,Pa’anga,TOP,2,
TRINIDAD AND TOBAGO,Trinidad and Tobago Dollar,TTD,2,
TUNISIA,Tunisian Dinar,TND,3,
TURKEY,Turkish Lira,TRY,2,
TURKMENISTAN,Turkmenistan New Manat,TMT,2,
TURKS AND CAICOS ISLANDS (THE),US Dollar,USD,2,
TUVALU,Australian Dollar,AUD,2,
UGANDA,Uganda Shilling,UGX,0,
UKRAINE,Hryvnia,UAH,2,
UNITED ARAB EMIRATES (THE),UAE Dirham,AED,2,
UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),Pound Sterling,GBP,2,
UNITED STATES MINOR OUTLYING ISLANDS (THE),US Dollar,USD,2,
UNITED STATES OF AMERICA (THE),US Dollar,USD,2,
UNITED STATES OF AMERICA (THE),US Dollar (Next day),USN,2,
URUGUAY,Uruguay Peso en Unidades Indexadas (URUIURUI),UYI,0,
URUGUAY,Peso Uruguayo,UYU,2,
UZBEKISTAN,Uzbekistan Sum,UZS,2,
VANUATU,Vatu,VUV,0,
VENEZUELA (BOLIVARIAN REPUBLIC OF),Bolivar,VEF,2,
VIET NAM,Dong,VND,0,
VIRGIN ISLANDS (BRITISH),US Dollar,USD,2,
VIRGIN ISLANDS (U.S.),US Dollar,USD,2,
WALLIS AND FUTUNA,CFP Franc,XPF,0,
WESTERN SAHARA,Moroccan Dirham,MAD,2,
YEMEN,Yemeni Rial,YER,2,
ZAMBIA,Zambian Kwacha,ZMW,2,
ZIMBABWE,Zimbabwe Dollar,ZWL,2,
